event_definition,coding_system,code_issue_dot,code_name,concept,concept_name,tags,system,event_abbreviation,type,code
Birth classified as narrow,MTHICD9,669.1,Obstetric shock,C0157450,Shock during AND-OR following labor AND-OR delivery,narrow,P,BirthNarrow,PrA,669.1
Birth classified as narrow,MTHICD9,669.10,Shock during or following labor and delivery- unspecified as to episode of care,C0157451,Shock during or following labor and delivery- unspecified as to episode of care or not applicable,narrow,P,BirthNarrow,PrA,669.10
Birth classified as narrow,MTHICD9,669.30,Acute renal failure following labor and delivery- unspecified as to episode of care,C0157462,Acute kidney failure following labor and delivery- unspecified as to episode of care or not applicable,narrow,P,BirthNarrow,PrA,669.30
Birth classified as narrow,MTHICD9,673.12,Amniotic fluid embolism- with delivery- with mention of postpartum complication,C0157549,Amniotic fluid embolism- delivered- with mention of postpartum complication,narrow,P,BirthNarrow,PrA,673.12
Birth classified as narrow,MTHICD9,674.2,Secondary perineal tear,C0269967,Secondary perineal tear in the puerperium,narrow,P,BirthNarrow,PrA,674.2
Birth classified as narrow,MTHICD9,674.3,Hematoma of cesarean section or perineal wound,C0269968,Hematoma of cesarean section or perineal wound,narrow,P,BirthNarrow,PrA,674.3
Birth classified as narrow,MTHICD9,674.3,Hematoma of cesarean section or perineal wound,C0269968,Hematoma of cesarean section or perineal wound,narrow,P,BirthNarrow,PrA,674.3
Birth classified as narrow,MTHICD9,674.51,Peripartum cardiomyopathy- with delivery- with or without mention of antepartum condition,C1260428,Peripartum cardiomyopathy- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,674.51
Birth classified as narrow,MTHICD9,674.52,Peripartum cardiomyopathy- with delivery- with mention of postpartum complication,C1260429,Peripartum cardiomyopathy- delivered- with mention of postpartum condition,narrow,P,BirthNarrow,PrA,674.52
Birth classified as narrow,MTHICD9,674.53,Peripartum cardiomyopathy- antepartum,C1260430,Peripartum cardiomyopathy- antepartum condition or complication,narrow,P,BirthNarrow,PrA,674.53
Birth classified as narrow,MTHICD9,675.14,Abscess of breast- postpartum,C0405309,Obstetric breast abscess - delivered,narrow,P,BirthNarrow,PrA,675.14
Birth classified as narrow,MTHICD9,V27.0,Mother with single liveborn,C1313895,Encounter due to single live birth,narrow,P,BirthNarrow,PrA,V27.0
Birth classified as narrow,MTHICD9,V27.2,Mother with twins- both liveborn,C0481459,Encounter due to birth of twins- both live born,narrow,P,BirthNarrow,PrA,V27.2
Birth classified as narrow,MTHICD9,V27.9,Mother with unspecified outcome of delivery,C0260590,Mother with unspecified outcome of delivery,narrow,P,BirthNarrow,PrA,V27.9
Birth classified as narrow,RCD2,7F12.,Elective caesarean delivery,C0473296,Elective cesarian delivery procedure,narrow,P,BirthNarrow,PrA,7F12.
Birth classified as narrow,RCD2,7F121,Elect lower segm caesar deliv,C0473298,Elective lower segment cesarean section,narrow,P,BirthNarrow,PrA,7F121
Birth classified as narrow,RCD2,7F12z,Elective caesarian deliv NOS,C0473296,Elective cesarian delivery procedure,narrow,P,BirthNarrow,PrA,7F12z
Birth classified as narrow,RCD2,7F13.,Other caesarean delivery,C0473294,Other caesarean delivery,narrow,P,BirthNarrow,PrA,7F13.
Birth classified as narrow,RCD2,7F131,Lower segm caesar delivery NEC,C0473299,Emergency lower segment cesarean section,narrow,P,BirthNarrow,PrA,7F131
Birth classified as narrow,RCD2,7F132,Extraperitoneal caesarean sect,C0195621,Extraperitoneal cesarean section,narrow,P,BirthNarrow,PrA,7F132
Birth classified as narrow,RCD2,7F13y,Other caesarean delivery OS,C0473295,Other specified other caesarean delivery,narrow,P,BirthNarrow,PrA,7F13y
Birth classified as narrow,RCD2,7F13z,Other caesarean delivery NOS,C0473294,Other caesarean delivery,narrow,P,BirthNarrow,PrA,7F13z
Birth classified as narrow,RCD2,7F1A0,Caesarean hysterectomy,C0195623,Cesarean hysterectomy,narrow,P,BirthNarrow,PrA,7F1A0
Birth classified as narrow,RCD2,L225.,Face presentation,C0233269,Face presentation of fetus,narrow,P,BirthNarrow,PrA,L225.
Birth classified as narrow,RCD2,L225z,Face presentation NOS,C0233269,Face presentation of fetus,narrow,P,BirthNarrow,PrA,L225z
Birth classified as narrow,RCD2,L227.,High head at term,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,BirthNarrow,PrA,L227.
Birth classified as narrow,RCD2,L2270,High head at term unspecified,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,BirthNarrow,PrA,L2270
Birth classified as narrow,RCD2,L227z,High head at term NOS,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,BirthNarrow,PrA,L227z
Birth classified as narrow,RCD2,L229.,Prolapsed arm presentation,C0269709,Presentation of prolapsed arm of fetus,narrow,P,BirthNarrow,PrA,L229.
Birth classified as narrow,RCD2,L2331,Outlet pelvic contract.-deliv.,C0156979,Outlet pelvic contraction - delivered,narrow,P,BirthNarrow,PrA,L2331
Birth classified as narrow,RCD2,L2341,Mixed feto-pelvic dispr-deliv.,C0405018,Mixed feto-pelvic disproportion - delivered,narrow,P,BirthNarrow,PrA,L2341
Birth classified as narrow,RCD2,L2431,Retr.incar.grav.uterus-deliv.,C0157023,Retroverted incarcerated gravid uterus - delivered,narrow,P,BirthNarrow,PrA,L2431
Birth classified as narrow,RCD2,L291.,Failed medical-unsp.induction,C0269808,Failed medical induction of labor,possible,P,BirthNarrow,PrA,L291.
Birth classified as narrow,RCD2,L2910,Failed medical induction unsp.,C0405189,Failed medical or unspecified induction of labor,possible,P,BirthNarrow,PrA,L2910
Birth classified as narrow,RCD2,L291z,Failed medical-unsp.induct.NOS,C0405189,Failed medical or unspecified induction of labor,possible,P,BirthNarrow,PrA,L291z
Birth classified as narrow,RCD2,L3...,Labour-delivery complications,C0269815,Complication of labor and delivery- unspecified,narrow,P,BirthNarrow,PrA,L3...
Birth classified as narrow,RCD2,L3004,Obstruct labour-face presentn,C0475557,Obstructed labor due to face presentation,narrow,P,BirthNarrow,PrA,L3004
Birth classified as narrow,RCD2,L307.,Failed trial of labour unspec.,C0157223,Failed trial of labor,possible,P,BirthNarrow,PrA,L307.
Birth classified as narrow,RCD2,L307z,Failed trial labour NOS,C0157223,Failed trial of labor,possible,P,BirthNarrow,PrA,L307z
Birth classified as narrow,RCD2,L34..,Perineum-vulva delivery trauma,C0269859,Obstetrical laceration,narrow,P,BirthNarrow,PrA,L34..
Birth classified as narrow,RCD2,L3410,2nd degree perineal tear unsp.,C0269870,Second degree perineal laceration,narrow,P,BirthNarrow,PrA,L3410
Birth classified as narrow,RCD2,L341z,Second degr.perineal tear NOS,C0269870,Second degree perineal laceration,narrow,P,BirthNarrow,PrA,L341z
Birth classified as narrow,RCD2,L3420,3rd degree perineal tear unsp.,C0269874,Third degree perineal laceration,narrow,P,BirthNarrow,PrA,L3420
Birth classified as narrow,RCD2,L342z,Third degree perineal tear NOS,C0269874,Third degree perineal laceration,narrow,P,BirthNarrow,PrA,L342z
Birth classified as narrow,RCD2,L344.,Perineal laceration unspecif.,C0269859,Obstetrical laceration,narrow,P,BirthNarrow,PrA,L344.
Birth classified as narrow,RCD2,L3440,Perineal tear unspecified,C0269859,Obstetrical laceration,narrow,P,BirthNarrow,PrA,L3440
Birth classified as narrow,RCD2,L344z,Perineal tear unspecified NOS,C0269859,Obstetrical laceration,narrow,P,BirthNarrow,PrA,L344z
Birth classified as narrow,RCD2,L3450,Vulval-perineal haematoma unsp,C0157332,Vulval and perineal hematoma during delivery,narrow,P,BirthNarrow,PrA,L3450
Birth classified as narrow,RCD2,L345z,Vulval-perineal haematoma NOS,C0157332,Vulval and perineal hematoma during delivery,narrow,P,BirthNarrow,PrA,L345z
Birth classified as narrow,RCD2,L353.,Obstetric laceration of cervix,C0157358,Laceration of cervix - obstetric,narrow,P,BirthNarrow,PrA,L353.
Birth classified as narrow,RCD2,L3530,Laceration of cervix unspecif.,C0157358,Laceration of cervix - obstetric,narrow,P,BirthNarrow,PrA,L3530
Birth classified as narrow,RCD2,L353z,Laceration of cervix NOS,C0157358,Laceration of cervix - obstetric,narrow,P,BirthNarrow,PrA,L353z
Birth classified as narrow,RCD2,L354.,Obstet high vaginal laceration,C0269887,Obstetric high vaginal laceration,narrow,P,BirthNarrow,PrA,L354.
Birth classified as narrow,RCD2,L3540,High vaginal laceration unspec,C0269887,Obstetric high vaginal laceration,narrow,P,BirthNarrow,PrA,L3540
Birth classified as narrow,RCD2,L354z,High vaginal laceration NOS,C0269887,Obstetric high vaginal laceration,narrow,P,BirthNarrow,PrA,L354z
Birth classified as narrow,RCD2,L357.,Obstetrics + pelvic haematoma,C0269895,Pelvic hematoma during delivery,narrow,P,BirthNarrow,PrA,L357.
Birth classified as narrow,RCD2,L3570,Obst.+ pelvic haematoma unsp.,C0269895,Pelvic hematoma during delivery,narrow,P,BirthNarrow,PrA,L3570
Birth classified as narrow,RCD2,L357z,Obst.+ pelvic haematoma NOS,C0269895,Pelvic hematoma during delivery,narrow,P,BirthNarrow,PrA,L357z
Birth classified as narrow,RCD2,L3700,Retained placenta+no h-ge unsp,C0269905,Retained placenta- without hemorrhage,narrow,P,BirthNarrow,PrA,L3700
Birth classified as narrow,RCD2,L390.,Maternal distress,C0473485,Maternal distress,narrow,P,BirthNarrow,PrA,L390.
Birth classified as narrow,RCD2,L3900,Maternal distress unspecified,C0473485,Maternal distress,narrow,P,BirthNarrow,PrA,L3900
Birth classified as narrow,RCD2,L390z,Maternal distress NOS,C0473485,Maternal distress,narrow,P,BirthNarrow,PrA,L390z
Birth classified as narrow,RCD2,L391.,Obstetric shock,C0157450,Shock during AND-OR following labor AND-OR delivery,narrow,P,BirthNarrow,PrA,L391.
Birth classified as narrow,RCD2,L3910,Obstetric shock unspecified,C0157450,Shock during AND-OR following labor AND-OR delivery,narrow,P,BirthNarrow,PrA,L3910
Birth classified as narrow,RCD2,L391z,Obstetric shock NOS,C0157450,Shock during AND-OR following labor AND-OR delivery,narrow,P,BirthNarrow,PrA,L391z
Birth classified as narrow,RCD2,L39z0,Labour-deliv.complic.unspecif.,C0269815,Complication of labor and delivery- unspecified,narrow,P,BirthNarrow,PrA,L39z0
Birth classified as narrow,RCD2,L3z..,Labour-delivery complic.NOS,C0269815,Complication of labor and delivery- unspecified,narrow,P,BirthNarrow,PrA,L3z..
Birth classified as narrow,RCD2,L4511,Obst.breast abscess-delivered,C0405309,Obstetric breast abscess - delivered,narrow,P,BirthNarrow,PrA,L4511
Birth classified as narrow,RCD2,Lyu4.,[X]Complicatns-labour+delivery,C0269815,Complication of labor and delivery- unspecified,narrow,P,BirthNarrow,PrA,Lyu4.
Birth classified as narrow,SCTSPA,10217006,laceración perineal de tercer grado,C0269874,Third degree perineal laceration,narrow,P,BirthNarrow,PrA,10217006
Birth classified as narrow,SCTSPA,106007006,afeccion materna Y-O fetal que afecta el trabajo de parto Y-O el parto,"","",narrow,P,BirthNarrow,PrA,106007006
Birth classified as narrow,SCTSPA,10808861000119105,sufrimiento materno durante el nacimiento (trastorno),"","",narrow,P,BirthNarrow,PrA,10808861000119105
Birth classified as narrow,SCTSPA,109894007,placenta retenida (trastorno),"","",narrow,P,BirthNarrow,PrA,109894007
Birth classified as narrow,SCTSPA,111453004,placenta retenida- sin hemorragia,C0269905,Retained placenta- without hemorrhage,narrow,P,BirthNarrow,PrA,111453004
Birth classified as narrow,SCTSPA,111453004,placenta retenida- sin hemorragia (trastorno),"","",narrow,P,BirthNarrow,PrA,111453004
Birth classified as narrow,SCTSPA,111454005,porciones retenidas de placenta Y-O membranas sin hemorragia,C0157408,Retained portions of placenta AND-OR membranes without hemorrhage,narrow,P,BirthNarrow,PrA,111454005
Birth classified as narrow,SCTSPA,112070001,inicio de trabajo de parto inducido (hallazgo),"","",narrow,P,BirthNarrow,PrA,112070001
Birth classified as narrow,SCTSPA,112927003,rotación manual de la cabeza fetal (procedimiento),"","",narrow,P,BirthNarrow,PrA,112927003
Birth classified as narrow,SCTSPA,11466000,operación cesárea (procedimiento),"","",narrow,P,BirthNarrow,PrA,11466000
Birth classified as narrow,SCTSPA,118215003,hallazgo relacionado con el parto (hallazgo),"","",narrow,P,BirthNarrow,PrA,118215003
Birth classified as narrow,SCTSPA,1197219005,Elective lower segment cesarean section through inverted T shaped incision of uterus,"","",narrow,P,BirthNarrow,PrA,1197219005
Birth classified as narrow,SCTSPA,12172008,desgarro obstétrico,C0269859,Obstetrical laceration,narrow,P,BirthNarrow,PrA,12172008
Birth classified as narrow,SCTSPA,123139003,laceración obstétrica- segundo grado,C0269870,Second degree perineal laceration,narrow,P,BirthNarrow,PrA,123139003
Birth classified as narrow,SCTSPA,123190002,laceración obstétrica,C0269859,Obstetrical laceration,narrow,P,BirthNarrow,PrA,123190002
Birth classified as narrow,SCTSPA,123191003,laceración obstétrica- tercer grado,C0269874,Third degree perineal laceration,narrow,P,BirthNarrow,PrA,123191003
Birth classified as narrow,SCTSPA,149985002,Other caesarean delivery NOS,C0473294,Other caesarean delivery,narrow,P,BirthNarrow,PrA,149985002
Birth classified as narrow,SCTSPA,15586008,laceración del surco o pared vaginal sin laceración perineal durante el parto,C0269887,Obstetric high vaginal laceration,narrow,P,BirthNarrow,PrA,15586008
Birth classified as narrow,SCTSPA,156261009,complicaciones del trabajo de parto y parto- SAI,C0269815,Complication of labor and delivery- unspecified,narrow,P,BirthNarrow,PrA,156261009
Birth classified as narrow,SCTSPA,169961004,nacimiento normal (hallazgo),"","",narrow,P,BirthNarrow,PrA,169961004
Birth classified as narrow,SCTSPA,177141003,Elective cesarean section,"","",narrow,P,BirthNarrow,PrA,177141003
Birth classified as narrow,SCTSPA,177141003,operación cesárea programada (procedimiento),"","",narrow,P,BirthNarrow,PrA,177141003
Birth classified as narrow,SCTSPA,177142005,Elective upper segment cesarean section,"","",narrow,P,BirthNarrow,PrA,177142005
Birth classified as narrow,SCTSPA,177143000,Elective lower segment cesarean section,"","",narrow,P,BirthNarrow,PrA,177143000
Birth classified as narrow,SCTSPA,177145007,parto por cesárea programada- SAI,C0473296,Elective cesarian delivery procedure,narrow,P,BirthNarrow,PrA,177145007
Birth classified as narrow,SCTSPA,177146008,otro parto por cesárea,C0473294,Other caesarean delivery,narrow,P,BirthNarrow,PrA,177146008
Birth classified as narrow,SCTSPA,177149001,otro parto por cesárea especificado de otro modo,C0473295,Other specified other caesarean delivery,narrow,P,BirthNarrow,PrA,177149001
Birth classified as narrow,SCTSPA,177150001,otro parto por cesárea- SAI,C0473294,Other caesarean delivery,narrow,P,BirthNarrow,PrA,177150001
Birth classified as narrow,SCTSPA,177184002,procedimiento de parto normal (procedimiento),"","",narrow,P,BirthNarrow,PrA,177184002
Birth classified as narrow,SCTSPA,199314001,parto normal con presencia de enfermedades prenatales o posnatales (trastorno),"","",narrow,P,BirthNarrow,PrA,199314001
Birth classified as narrow,SCTSPA,199331008,parto múltiple- todos nacidos por cesárea (hallazgo),"","",narrow,P,BirthNarrow,PrA,199331008
Birth classified as narrow,SCTSPA,199368006,presentación de cara- SAI,C0233269,Face presentation of fetus,narrow,P,BirthNarrow,PrA,199368006
Birth classified as narrow,SCTSPA,199413006,contracción del estrecho inferior de la pelvis - nacido,C0156979,Outlet pelvic contraction - delivered,narrow,P,BirthNarrow,PrA,199413006
Birth classified as narrow,SCTSPA,199418002,desproporción feto-pélvica mixta - nacido,C0405018,Mixed feto-pelvic disproportion - delivered,narrow,P,BirthNarrow,PrA,199418002
Birth classified as narrow,SCTSPA,199468005,útero grávido en retroversión encarcelado - nacido,C0157023,Retroverted incarcerated gravid uterus - delivered,narrow,P,BirthNarrow,PrA,199468005
Birth classified as narrow,SCTSPA,199699000,inducción del parto médica o no especificada- fallida- no especificada,C0405189,Failed medical or unspecified induction of labor,possible,P,BirthNarrow,PrA,199699000
Birth classified as narrow,SCTSPA,199702007,fracaso de la inducción médica o no especificada- SAI,C0405189,Failed medical or unspecified induction of labor,possible,P,BirthNarrow,PrA,199702007
Birth classified as narrow,SCTSPA,199745000,complicaciones durante el trabajo de parto y el parto,C0269815,Complication of labor and delivery- unspecified,narrow,P,BirthNarrow,PrA,199745000
Birth classified as narrow,SCTSPA,199746004,trabajo de parto obstruido (trastorno),"","",narrow,P,BirthNarrow,PrA,199746004
Birth classified as narrow,SCTSPA,199752003,trabajo de parto obstruido por presentación de cara,C0475557,Obstructed labor due to face presentation,narrow,P,BirthNarrow,PrA,199752003
Birth classified as narrow,SCTSPA,199767004,trabajo de parto obstruido por partes blandas pélvicas (trastorno),"","",narrow,P,BirthNarrow,PrA,199767004
Birth classified as narrow,SCTSPA,199790009,prueba de parto fallida,C0157223,Failed trial of labor,possible,P,BirthNarrow,PrA,199790009
Birth classified as narrow,SCTSPA,199795004,prueba de trabajo de parto fallida- SAI,C0157223,Failed trial of labor,possible,P,BirthNarrow,PrA,199795004
Birth classified as narrow,SCTSPA,199924000,desgarro perineal de segundo grado durante el parto- no especificado,C0269870,Second degree perineal laceration,narrow,P,BirthNarrow,PrA,199924000
Birth classified as narrow,SCTSPA,199927007,desgarro perineal de segundo grado durante el parto- SAI,C0269870,Second degree perineal laceration,narrow,P,BirthNarrow,PrA,199927007
Birth classified as narrow,SCTSPA,199929005,desgarro perineal de tercer grado durante el parto- no especificado,C0269874,Third degree perineal laceration,narrow,P,BirthNarrow,PrA,199929005
Birth classified as narrow,SCTSPA,199932008,desgarro perineal de tercer grado durante el parto- SAI,C0269874,Third degree perineal laceration,narrow,P,BirthNarrow,PrA,199932008
Birth classified as narrow,SCTSPA,199937002,laceración perineal durante el parto- no especificada,C0269859,Obstetrical laceration,narrow,P,BirthNarrow,PrA,199937002
Birth classified as narrow,SCTSPA,199938007,laceración perineal intraparto no especificada - no especificado,C0269859,Obstetrical laceration,narrow,P,BirthNarrow,PrA,199938007
Birth classified as narrow,SCTSPA,199941003,laceración perineal durante el parto- no especificada- SAI,C0269859,Obstetrical laceration,narrow,P,BirthNarrow,PrA,199941003
Birth classified as narrow,SCTSPA,199943000,hematoma vulvar y perineal durante el parto- no especificado,C0157332,Vulval and perineal hematoma during delivery,narrow,P,BirthNarrow,PrA,199943000
Birth classified as narrow,SCTSPA,199946008,hematoma vulvar y perineal durante el parto- SAI,C0157332,Vulval and perineal hematoma during delivery,narrow,P,BirthNarrow,PrA,199946008
Birth classified as narrow,SCTSPA,199972004,laceración obstétrica de cuello uterino,C0157358,Laceration of cervix - obstetric,narrow,P,BirthNarrow,PrA,199972004
Birth classified as narrow,SCTSPA,199973009,laceración del cérvix de causa obstétrica no especificada,C0157358,Laceration of cervix - obstetric,narrow,P,BirthNarrow,PrA,199973009
Birth classified as narrow,SCTSPA,199976001,laceración del cérvix uterino de causa obstétrica- SAI,C0157358,Laceration of cervix - obstetric,narrow,P,BirthNarrow,PrA,199976001
Birth classified as narrow,SCTSPA,199977005,laceración obstétrica de la porción superior de la vagina,C0269887,Obstetric high vaginal laceration,narrow,P,BirthNarrow,PrA,199977005
Birth classified as narrow,SCTSPA,199978000,laceración vaginal alta de causa obstétrica no especificada,C0269887,Obstetric high vaginal laceration,narrow,P,BirthNarrow,PrA,199978000
Birth classified as narrow,SCTSPA,199981005,laceración vaginal alta de causa obstétrica- SAI,C0269887,Obstetric high vaginal laceration,narrow,P,BirthNarrow,PrA,199981005
Birth classified as narrow,SCTSPA,199993001,traumatismo obstétrico que causa hematoma pélvico,C0269895,Pelvic hematoma during delivery,narrow,P,BirthNarrow,PrA,199993001
Birth classified as narrow,SCTSPA,199994007,hematoma pélvico de causa obstétrica no especificado,C0269895,Pelvic hematoma during delivery,narrow,P,BirthNarrow,PrA,199994007
Birth classified as narrow,SCTSPA,199998005,hematoma pélvico por traumatismo obstétrico- SAI,C0269895,Pelvic hematoma during delivery,narrow,P,BirthNarrow,PrA,199998005
Birth classified as narrow,SCTSPA,200036001,placenta retenida sin hemorragia- no especificada,C0269905,Retained placenta- without hemorrhage,narrow,P,BirthNarrow,PrA,200036001
Birth classified as narrow,SCTSPA,200098002,distrés materno- no especificado,C0473485,Maternal distress,narrow,P,BirthNarrow,PrA,200098002
Birth classified as narrow,SCTSPA,200099005,sufrimiento materno - nacido (trastorno),"","",narrow,P,BirthNarrow,PrA,200099005
Birth classified as narrow,SCTSPA,200101003,sufrimiento materno con problema prenatal (trastorno),"","",narrow,P,BirthNarrow,PrA,200101003
Birth classified as narrow,SCTSPA,200102005,sufrimiento materno con problema posnatal (trastorno),"","",narrow,P,BirthNarrow,PrA,200102005
Birth classified as narrow,SCTSPA,200103000,distrés materno- SAI,C0473485,Maternal distress,narrow,P,BirthNarrow,PrA,200103000
Birth classified as narrow,SCTSPA,200104006,choque de causa obstétrica- no especificado,C0157450,Shock during AND-OR following labor AND-OR delivery,narrow,P,BirthNarrow,PrA,200104006
Birth classified as narrow,SCTSPA,200109001,choque de causa obstétrica- SAI,C0157450,Shock during AND-OR following labor AND-OR delivery,narrow,P,BirthNarrow,PrA,200109001
Birth classified as narrow,SCTSPA,200130005,parto con fórceps - nacido (hallazgo),"","",narrow,P,BirthNarrow,PrA,200130005
Birth classified as narrow,SCTSPA,200133007,parto con combinación de fórceps y ventosa (hallazgo),"","",narrow,P,BirthNarrow,PrA,200133007
Birth classified as narrow,SCTSPA,200138003,parto con ventosa - nacido (hallazgo),"","",narrow,P,BirthNarrow,PrA,200138003
Birth classified as narrow,SCTSPA,200144004,partos por cesarea,"","",narrow,P,BirthNarrow,PrA,200144004
Birth classified as narrow,SCTSPA,200146002,parto por cesárea - nacido (hallazgo),"","",narrow,P,BirthNarrow,PrA,200146002
Birth classified as narrow,SCTSPA,200147006,cesárea - embarazo a término (hallazgo),"","",narrow,P,BirthNarrow,PrA,200147006
Birth classified as narrow,SCTSPA,200166006,complicaciones del trabajo de parto y parto- SAI,C0269815,Complication of labor and delivery- unspecified,narrow,P,BirthNarrow,PrA,200166006
Birth classified as narrow,SCTSPA,200167002,complicaciones del trabajo de parto y parto- SAI- no especificadas,C0269815,Complication of labor and delivery- unspecified,narrow,P,BirthNarrow,PrA,200167002
Birth classified as narrow,SCTSPA,200172006,complicaciones del trabajo de parto y parto- SAI,C0269815,Complication of labor and delivery- unspecified,narrow,P,BirthNarrow,PrA,200172006
Birth classified as narrow,SCTSPA,200176009,complicaciones del trabajo de parto y parto- SAI,C0269815,Complication of labor and delivery- unspecified,narrow,P,BirthNarrow,PrA,200176009
Birth classified as narrow,SCTSPA,200374003,absceso mamario obstétrico - nacido,C0405309,Obstetric breast abscess - delivered,narrow,P,BirthNarrow,PrA,200374003
Birth classified as narrow,SCTSPA,200523005,(X)complicaciones del trabajo de parto y parto,C0269815,Complication of labor and delivery- unspecified,narrow,P,BirthNarrow,PrA,200523005
Birth classified as narrow,SCTSPA,20236002,trabajo de parto en curso (hallazgo),"","",narrow,P,BirthNarrow,PrA,20236002
Birth classified as narrow,SCTSPA,206070006,efecto sobre el feto o recién nacido de daño de la placenta causado por operación cesárea (trastorno),"","",narrow,P,BirthNarrow,PrA,206070006
Birth classified as narrow,SCTSPA,206282005,otras enfermedades respiratorias fetales o del recién nacido,C0158934,Other respiratory conditions of fetus and newborn,narrow,P,BirthNarrow,PrA,206282005
Birth classified as narrow,SCTSPA,21882006,presentación de cara del feto,C0233269,Face presentation of fetus,narrow,P,BirthNarrow,PrA,21882006
Birth classified as narrow,SCTSPA,23332002,prueba de parto fallida,C0157223,Failed trial of labor,possible,P,BirthNarrow,PrA,23332002
Birth classified as narrow,SCTSPA,236958009,inducción del trabajo de parto (procedimiento),"","",narrow,P,BirthNarrow,PrA,236958009
Birth classified as narrow,SCTSPA,236960006,ruptura de membranas (procedimiento),"","",narrow,P,BirthNarrow,PrA,236960006
Birth classified as narrow,SCTSPA,236973005,procedimiento de parto (procedimiento),"","",narrow,P,BirthNarrow,PrA,236973005
Birth classified as narrow,SCTSPA,236974004,parto instrumental (procedimiento),"","",narrow,P,BirthNarrow,PrA,236974004
Birth classified as narrow,SCTSPA,236985002,Emergency lower segment cesarean section,"","",narrow,P,BirthNarrow,PrA,236985002
Birth classified as narrow,SCTSPA,236986001,Emergency upper segment cesarean section,"","",narrow,P,BirthNarrow,PrA,236986001
Birth classified as narrow,SCTSPA,236987005,Emergency cesarean hysterectomy,"","",narrow,P,BirthNarrow,PrA,236987005
Birth classified as narrow,SCTSPA,236988000,Elective cesarean hysterectomy,"","",narrow,P,BirthNarrow,PrA,236988000
Birth classified as narrow,SCTSPA,236988000,histerectomía en cesárea electiva,"","",narrow,P,BirthNarrow,PrA,236988000
Birth classified as narrow,SCTSPA,236989008,Abdominal delivery for shoulder dystocia,"","",narrow,P,BirthNarrow,PrA,236989008
Birth classified as narrow,SCTSPA,237311001,parto de nalgas total (procedimiento),"","",narrow,P,BirthNarrow,PrA,237311001
Birth classified as narrow,SCTSPA,237312008,parto múltiple (entidad observable),"","",narrow,P,BirthNarrow,PrA,237312008
Birth classified as narrow,SCTSPA,24342007,infección de herida de operación cesárea Y-O perineal,C0269970,infection of cesarean section and perineal wound,narrow,P,BirthNarrow,PrA,24342007
Birth classified as narrow,SCTSPA,24342007,infección de herida de operación cesárea Y-O perineal,C0269970,infection of cesarean section and perineal wound,narrow,P,BirthNarrow,PrA,24342007
Birth classified as narrow,SCTSPA,249155005,alumbramiento (entidad observable),"","",narrow,P,BirthNarrow,PrA,249155005
Birth classified as narrow,SCTSPA,249219008,desgarro genital como consecuencia del parto (trastorno),"","",narrow,P,BirthNarrow,PrA,249219008
Birth classified as narrow,SCTSPA,26528001,hemorragia de herida de operación cesárea Y-O perineal,C0269969,hemorrhage of cesarean section and perineal wound,narrow,P,BirthNarrow,PrA,26528001
Birth classified as narrow,SCTSPA,26528001,hemorragia de herida de operación cesárea Y-O perineal,C0269969,hemorrhage of cesarean section and perineal wound,narrow,P,BirthNarrow,PrA,26528001
Birth classified as narrow,SCTSPA,267269004,hematoma perineo-vulvar durante el parto,C0157332,Vulval and perineal hematoma during delivery,narrow,P,BirthNarrow,PrA,267269004
Birth classified as narrow,SCTSPA,267269004,hematoma perineo-vulvar durante el parto (trastorno),"","",narrow,P,BirthNarrow,PrA,267269004
Birth classified as narrow,SCTSPA,267274007,placenta retenida sin hemorragia,C0269905,Retained placenta- without hemorrhage,narrow,P,BirthNarrow,PrA,267274007
Birth classified as narrow,SCTSPA,267275008,placenta retenida sin hemorragia- SAI,C0269905,Retained placenta- without hemorrhage,narrow,P,BirthNarrow,PrA,267275008
Birth classified as narrow,SCTSPA,267278005,partos con ventosa (hallazgo),"","",narrow,P,BirthNarrow,PrA,267278005
Birth classified as narrow,SCTSPA,268475008,resultados del parto (entidad observable),"","",narrow,P,BirthNarrow,PrA,268475008
Birth classified as narrow,SCTSPA,274127000,parto anormal (hallazgo),"","",narrow,P,BirthNarrow,PrA,274127000
Birth classified as narrow,SCTSPA,274130007,Emergency cesarean section,"","",narrow,P,BirthNarrow,PrA,274130007
Birth classified as narrow,SCTSPA,27541007,complicación del trabajo de parto Y-O del parto,C0269815,Complication of labor and delivery- unspecified,narrow,P,BirthNarrow,PrA,27541007
Birth classified as narrow,SCTSPA,28030000,nacimiento de gemelos (hallazgo),"","",narrow,P,BirthNarrow,PrA,28030000
Birth classified as narrow,SCTSPA,281050002,parto de feto vivo (hallazgo),"","",narrow,P,BirthNarrow,PrA,281050002
Birth classified as narrow,SCTSPA,282020008,parto prematuro (hallazgo),"","",narrow,P,BirthNarrow,PrA,282020008
Birth classified as narrow,SCTSPA,288042004,Hysterectomy and fetus removal,"","",narrow,P,BirthNarrow,PrA,288042004
Birth classified as narrow,SCTSPA,288209009,parto normal - posición occipitoanterior (hallazgo),"","",narrow,P,BirthNarrow,PrA,288209009
Birth classified as narrow,SCTSPA,288274003,sufrimiento fetal- durante el trabajo de parto (hallazgo),"","",narrow,P,BirthNarrow,PrA,288274003
