event_definition,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_issue_dot,code
Birth classified as narrow,ICD9CMP,Other specified infectious and parasitic diseases of mother- delivered- with mention of postpartum complication,C0156820,Other specified infectious and parasitic diseases of mother- delivered- with mention of postpartum complication,narrow,P,BirthNarrow,PrA,647.82,647.82
Birth classified as narrow,ICD9CMP,Other specified infectious and parasitic diseases of mother- delivered- with or without mention of antepartum condition,C0156819,Other specified infectious and parasitic diseases of mother- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,647.81,647.81
Birth classified as narrow,ICD9CMP,Other specified malposition or malpresentation- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,652.81,652.81
Birth classified as narrow,ICD9CMP,Other specified multiple gestation- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,651.81,651.81
Birth classified as narrow,ICD9CMP,Other umbilical cord complications during labor and delivery,"","",narrow,P,BirthNarrow,PrA,663.8,663.8
Birth classified as narrow,ICD9CMP,Other viral diseases in the mother- delivered- with mention of postpartum complication,C0156814,Other viral diseases in the mother- delivered- with mention of postpartum complication,narrow,P,BirthNarrow,PrA,647.62,647.62
Birth classified as narrow,ICD9CMP,Other vomiting complicating pregnancy- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,643.81,643.81
Birth classified as narrow,ICD9CMP,Outcome of delivery- other multiple birth- all liveborn,"","",narrow,P,BirthNarrow,PrA,V27.5,V27.5
Birth classified as narrow,ICD9CMP,Outcome of delivery- other multiple birth- some liveborn,"","",narrow,P,BirthNarrow,PrA,V27.6,V27.6
Birth classified as narrow,ICD9CMP,Outcome of delivery- single liveborn,C1313895,Encounter due to single live birth,narrow,P,BirthNarrow,PrA,V27.0,V27.0
Birth classified as narrow,ICD9CMP,Outcome of delivery- twins- both liveborn,C0481459,Encounter due to birth of twins- both live born,narrow,P,BirthNarrow,PrA,V27.2,V27.2
Birth classified as narrow,ICD9CMP,Outcome of delivery- twins- one liveborn and one stillborn,"","",narrow,P,BirthNarrow,PrA,V27.3,V27.3
Birth classified as narrow,ICD9CMP,Outcome of delivery- unspecified outcome of delivery,C0260590,Mother with unspecified outcome of delivery,narrow,P,BirthNarrow,PrA,V27.9,V27.9
Birth classified as narrow,ICD9CMP,Outlet contraction of pelvis- delivered- with or without mention of antepartum condition,C0156979,Outlet pelvic contraction - delivered,narrow,P,BirthNarrow,PrA,653.31,653.31
Birth classified as narrow,ICD9CMP,Papyraceous fetus- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,646.01,646.01
Birth classified as narrow,ICD9CMP,Papyraceous fetus- delivered- with or without mention of antepartum condition,C0156726,Papyraceous fetus- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,646.01,646.01
Birth classified as narrow,ICD9CMP,Pelvic hematoma- delivered with mention of postpartum complication,"","",narrow,P,BirthNarrow,PrA,665.72,665.72
Birth classified as narrow,ICD9CMP,Pelvic hematoma- delivered- with or without mention of antepartum condition,C0269895,Pelvic hematoma during delivery,narrow,P,BirthNarrow,PrA,665.71,665.71
Birth classified as narrow,ICD9CMP,Peripartum cardiomyopathy- antepartum condition or complication,C1260430,Peripartum cardiomyopathy- antepartum condition or complication,narrow,P,BirthNarrow,PrA,674.53,674.53
Birth classified as narrow,ICD9CMP,Peripartum cardiomyopathy- delivered- with mention of postpartum condition,C1260429,Peripartum cardiomyopathy- delivered- with mention of postpartum condition,narrow,P,BirthNarrow,PrA,674.52,674.52
Birth classified as narrow,ICD9CMP,Peripartum cardiomyopathy- delivered- with or without mention of antepartum condition,C1260428,Peripartum cardiomyopathy- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,674.51,674.51
Birth classified as narrow,ICD9CMP,Peripheral neuritis in pregnancy- delivered- with mention of postpartum complication,"","",narrow,P,BirthNarrow,PrA,646.42,646.42
Birth classified as narrow,ICD9CMP,Peripheral neuritis in pregnancy- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,646.41,646.41
Birth classified as narrow,ICD9CMP,Placenta previa without hemorrhage- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,641.01,641.01
Birth classified as narrow,ICD9CMP,Placenta previa without hemorrhage- delivered- with or without mention of antepartum condition,C0156619,"",narrow,P,BirthNarrow,PrA,641.01,641.01
Birth classified as narrow,ICD9CMP,Placental polyp- delivered- with mention of postpartum complication,"","",narrow,P,BirthNarrow,PrA,674.42,674.42
Birth classified as narrow,ICD9CMP,Polyhydramnios- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,657.01,657.01
Birth classified as narrow,ICD9CMP,Poor fetal growth- affecting management of mother- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,656.51,656.51
Birth classified as narrow,ICD9CMP,Pre-eclampsia or eclampsia superimposed on pre-existing hypertension- delivered- with mention of postpartum complication,"","",narrow,P,BirthNarrow,PrA,642.72,642.72
Birth classified as narrow,ICD9CMP,Pre-eclampsia or eclampsia superimposed on pre-existing hypertension- delivered- with mention of postpartum complication,C0156682,Pre-eclampsia or eclampsia superimposed on pre-existing hypertension- delivered- with mention of postpartum complication,narrow,P,BirthNarrow,PrA,642.72,642.72
Birth classified as narrow,ICD9CMP,Pre-eclampsia or eclampsia superimposed on pre-existing hypertension- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,642.71,642.71
Birth classified as narrow,ICD9CMP,Pre-eclampsia or eclampsia superimposed on pre-existing hypertension- delivered- with or without mention of antepartum condition,C0156681,Pre-eclampsia or eclampsia superimposed on pre-existing hypertension- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,642.71,642.71
Birth classified as narrow,ICD9CMP,Premature rupture of membranes,"","",narrow,P,BirthNarrow,PrA,658.1,658.1
Birth classified as narrow,ICD9CMP,Premature rupture of membranes- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,658.11,658.11
Birth classified as narrow,ICD9CMP,Premature rupture of membranes- unspecified as to episode of care or not applicable,"","",narrow,P,BirthNarrow,PrA,658.1,658.1
Birth classified as narrow,ICD9CMP,Premature separation of placenta- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,641.21,641.21
Birth classified as narrow,ICD9CMP,Premature separation of placenta- delivered- with or without mention of antepartum condition,C0156626,"",narrow,P,BirthNarrow,PrA,641.21,641.21
Birth classified as narrow,ICD9CMP,Previous cesarean delivery- delivered- with or without mention of antepartum condition,C0375395,Previous cesarean delivery- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,654.21,654.21
Birth classified as narrow,ICD9CMP,Primary uterine inertia- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,661.01,661.01
Birth classified as narrow,ICD9CMP,Prolapsed arm of fetus,"","",narrow,P,BirthNarrow,PrA,652.7,652.7
Birth classified as narrow,ICD9CMP,Prolapsed arm of fetus,C0269709,Presentation of prolapsed arm of fetus,narrow,P,BirthNarrow,PrA,652.7,652.7
Birth classified as narrow,ICD9CMP,Prolapsed arm of fetus- antepartum condition or complication,"","",narrow,P,BirthNarrow,PrA,652.73,652.73
Birth classified as narrow,ICD9CMP,Prolapsed arm of fetus- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,652.71,652.71
Birth classified as narrow,ICD9CMP,Prolapsed arm of fetus- unspecified as to episode of care or not applicable,"","",narrow,P,BirthNarrow,PrA,652.70,652.70
Birth classified as narrow,ICD9CMP,Prolonged first stage of labor,"","",narrow,P,BirthNarrow,PrA,662.0,662.0
Birth classified as narrow,ICD9CMP,Prolonged first stage of labor- antepartum condition or complication,"","",narrow,P,BirthNarrow,PrA,662.03,662.03
Birth classified as narrow,ICD9CMP,Prolonged first stage of labor- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,662.01,662.01
Birth classified as narrow,ICD9CMP,Prolonged first stage of labor- unspecified as to episode of care or not applicable,"","",narrow,P,BirthNarrow,PrA,662.00,662.00
Birth classified as narrow,ICD9CMP,Prolonged labor- unspecified,"","",narrow,P,BirthNarrow,PrA,662.1,662.1
Birth classified as narrow,ICD9CMP,Prolonged pregnancy- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,645.01,645.01
Birth classified as narrow,ICD9CMP,Prolonged pregnancy- delivered- with or without mention of antepartum condition,C1176347,Prolonged pregnancy- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,645.21,645.21
Birth classified as narrow,ICD9CMP,Prolonged second stage of labor,"","",narrow,P,BirthNarrow,PrA,662.2,662.2
Birth classified as narrow,ICD9CMP,Prolonged second stage of labor- antepartum condition or complication,"","",narrow,P,BirthNarrow,PrA,662.23,662.23
Birth classified as narrow,ICD9CMP,Prolonged second stage of labor- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,662.21,662.21
Birth classified as narrow,ICD9CMP,Prolonged second stage of labor- unspecified as to episode of care or not applicable,"","",narrow,P,BirthNarrow,PrA,662.20,662.20
Birth classified as narrow,ICD9CMP,Quadruplet pregnancy with fetal loss and retention of one or more fetus(es)- antepartum condition or complication,C0156912,Quadruplet pregnancy with fetal loss and retention of one or more fetus(es)- antepartum condition or complication,narrow,P,BirthNarrow,PrA,651.53,651.53
Birth classified as narrow,ICD9CMP,Quadruplet pregnancy with fetal loss and retention of one or more fetus(es)- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,651.31,651.31
Birth classified as narrow,ICD9CMP,Quadruplet pregnancy with fetal loss and retention of one or more fetus(es)- delivered- with or without mention of antepartum condition,C0156911,Quadruplet pregnancy with fetal loss and retention of one or more fetus(es)- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,651.51,651.51
Birth classified as narrow,ICD9CMP,Quadruplet pregnancy- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,651.21,651.21
Birth classified as narrow,ICD9CMP,Recurrent pregnancy loss- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,646.31,646.31
Birth classified as narrow,ICD9CMP,Retained placenta or membranes- without hemorrhage,C0157404,Retained placenta or membranes- without haemorrhage,narrow,P,BirthNarrow,PrA,667,667
Birth classified as narrow,ICD9CMP,Retained placenta without hemorrhage,C0269905,Retained placenta- without hemorrhage,narrow,P,BirthNarrow,PrA,667.0,667.0
Birth classified as narrow,ICD9CMP,Retained placenta without hemorrhage- delivered- with mention of postpartum complication,"","",narrow,P,BirthNarrow,PrA,667.02,667.02
Birth classified as narrow,ICD9CMP,Retained placenta without hemorrhage- unspecified as to episode of care or not applicable,C0157405,Retained placenta without hemorrhage- unspecified as to episode of care or not applicable,narrow,P,BirthNarrow,PrA,667.00,667.00
Birth classified as narrow,ICD9CMP,Retained portions of placenta or membranes- without hemorrhage,C0157408,Retained portions of placenta AND-OR membranes without hemorrhage,narrow,P,BirthNarrow,PrA,667.1,667.1
Birth classified as narrow,ICD9CMP,Retained portions of placenta or membranes- without hemorrhage- delivered- with mention of postpartum complication,"","",narrow,P,BirthNarrow,PrA,667.12,667.12
Birth classified as narrow,ICD9CMP,Retained portions of placenta or membranes- without hemorrhage- unspecified as to episode of care or not applicable,C0157409,Retained portions of placenta or membranes- without hemorrhage- unspecified as to episode of care or not applicable,narrow,P,BirthNarrow,PrA,667.10,667.10
Birth classified as narrow,ICD9CMP,Retroverted and incarcerated gravid uterus- delivered- with mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,654.31,654.31
Birth classified as narrow,ICD9CMP,Retroverted and incarcerated gravid uterus- delivered- with mention of antepartum condition,C0157023,Retroverted incarcerated gravid uterus - delivered,narrow,P,BirthNarrow,PrA,654.31,654.31
Birth classified as narrow,ICD9CMP,Retroverted and incarcerated gravid uterus- delivered- with mention of postpartum complication,"","",narrow,P,BirthNarrow,PrA,654.32,654.32
Birth classified as narrow,ICD9CMP,Retroverted and incarcerated gravid uterus- delivered- with mention of postpartum complication,C0157024,Retroverted and incarcerated gravid uterus- delivered- with mention of postpartum complication,narrow,P,BirthNarrow,PrA,654.32,654.32
Birth classified as narrow,ICD9CMP,Rhesus isoimmunization- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,656.11,656.11
Birth classified as narrow,ICD9CMP,Rubella in the mother- delivered- with mention of postpartum complication,C0156808,Rubella in the mother- delivered- with mention of postpartum complication,narrow,P,BirthNarrow,PrA,647.52,647.52
Birth classified as narrow,ICD9CMP,Rupture of uterus during labor- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,665.11,665.11
Birth classified as narrow,ICD9CMP,Second-degree perineal laceration during delivery,C0269870,Second degree perineal laceration,narrow,P,BirthNarrow,PrA,664.1,664.1
Birth classified as narrow,ICD9CMP,Second-degree perineal laceration- delivered- with or without mention of antepartum condition,C0269870,Second degree perineal laceration,narrow,P,BirthNarrow,PrA,664.11,664.11
Birth classified as narrow,ICD9CMP,Second-degree perineal laceration- postpartum condition or complication,"","",narrow,P,BirthNarrow,PrA,664.14,664.14
Birth classified as narrow,ICD9CMP,Second-degree perineal laceration- unspecified as to episode of care or not applicable,C0157317,Second-degree perineal laceration- unspecified as to episode of care or not applicable,narrow,P,BirthNarrow,PrA,664.10,664.10
Birth classified as narrow,ICD9CMP,Secondary uterine inertia- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,661.11,661.11
Birth classified as narrow,ICD9CMP,Severe pre-eclampsia- delivered- with mention of postpartum complication,"","",narrow,P,BirthNarrow,PrA,642.52,642.52
Birth classified as narrow,ICD9CMP,Severe pre-eclampsia- delivered- with mention of postpartum complication,C0156671,"",narrow,P,BirthNarrow,PrA,642.52,642.52
Birth classified as narrow,ICD9CMP,Severe pre-eclampsia- delivered- with mention of postpartum complication,C0156671,Severe pre-eclampsia- delivered- with mention of postpartum complication,narrow,P,BirthNarrow,PrA,642.52,642.52
Birth classified as narrow,ICD9CMP,Severe pre-eclampsia- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,642.51,642.51
Birth classified as narrow,ICD9CMP,Severe pre-eclampsia- delivered- with or without mention of antepartum condition,C0156670,"",narrow,P,BirthNarrow,PrA,642.51,642.51
Birth classified as narrow,ICD9CMP,Severe pre-eclampsia- delivered- with or without mention of antepartum condition,C0156670,Severe pre-eclampsia- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,642.51,642.51
Birth classified as narrow,ICD9CMP,Severe pre-eclampsia- unspecified as to episode of care or not applicable,C0156669,Severe pre-eclampsia- unspecified as to episode of care or not applicable,narrow,P,BirthNarrow,PrA,642.50,642.50
Birth classified as narrow,ICD9CMP,Shock during or following labor and delivery,C0157450,Shock during AND-OR following labor AND-OR delivery,narrow,P,BirthNarrow,PrA,669.1,669.1
Birth classified as narrow,ICD9CMP,Shock during or following labor and delivery- antepartum condition or complication,"","",narrow,P,BirthNarrow,PrA,669.13,669.13
Birth classified as narrow,ICD9CMP,Shock during or following labor and delivery- delivered- with mention of postpartum complication,"","",narrow,P,BirthNarrow,PrA,669.12,669.12
Birth classified as narrow,ICD9CMP,Shock during or following labor and delivery- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,669.11,669.11
Birth classified as narrow,ICD9CMP,Shock during or following labor and delivery- unspecified as to episode of care or not applicable,C0157451,Shock during or following labor and delivery- unspecified as to episode of care or not applicable,narrow,P,BirthNarrow,PrA,669.10,669.10
Birth classified as narrow,ICD9CMP,Shoulder (girdle) dystocia- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,660.41,660.41
Birth classified as narrow,ICD9CMP,Spotting complicating pregnancy- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,649.51,649.51
Birth classified as narrow,ICD9CMP,Spotting complicating pregnancy- delivered- with or without mention of antepartum condition,C1719593,Spotting complicating pregnancy- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,649.51,649.51
Birth classified as narrow,ICD9CMP,Suspected damage to fetus from drugs- affecting management of mother- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,655.51,655.51
Birth classified as narrow,ICD9CMP,Suspected damage to fetus from drugs- affecting management of mother- delivered- with or without mention of antepartum condition,C0157086,Suspected damage to fetus from drugs- affecting management of mother- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,655.51,655.51
Birth classified as narrow,ICD9CMP,Suspected damage to fetus from other disease in the mother- affecting management of mother- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,655.41,655.41
Birth classified as narrow,ICD9CMP,Suspected damage to fetus from other disease in the mother- affecting management of mother- delivered- with or without mention of antepartum condition,C0157082,Suspected damage to fetus from other disease in the mother- affecting management of mother- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,655.41,655.41
Birth classified as narrow,ICD9CMP,Suspected damage to fetus from radiation- affecting management of mother- delivered-,"","",narrow,P,BirthNarrow,PrA,655.61,655.61
Birth classified as narrow,ICD9CMP,Suspected damage to fetus from viral disease in the mother- affecting management of mother- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,655.31,655.31
Birth classified as narrow,ICD9CMP,Suspected damage to fetus from viral disease in the mother- affecting management of mother- delivered- with or without mention of antepartum condition,C0157078,Suspected damage to fetus from viral disease in the mother- affecting management of mother- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,655.31,655.31
Birth classified as narrow,ICD9CMP,Syphilis of mother- complicating pregnancy- childbirth- or the puerperium- delivered- with mention of postpartum complication,C0156778,Syphilis of mother- complicating pregnancy- childbirth- or the puerperium- delivered- with mention of postpartum complication,narrow,P,BirthNarrow,PrA,647.02,647.02
Birth classified as narrow,ICD9CMP,Third-degree perineal laceration during delivery,C0269874,Third degree perineal laceration,narrow,P,BirthNarrow,PrA,664.2,664.2
Birth classified as narrow,ICD9CMP,Third-degree perineal laceration- delivered- with or without mention of antepartum condition,C0269874,Third degree perineal laceration,narrow,P,BirthNarrow,PrA,664.21,664.21
Birth classified as narrow,ICD9CMP,Third-degree perineal laceration- postpartum condition or complication,"","",narrow,P,BirthNarrow,PrA,664.24,664.24
Birth classified as narrow,ICD9CMP,Third-degree perineal laceration- unspecified as to episode of care or not applicable,C0157321,Third-degree perineal laceration- unspecified as to episode of care or not applicable,narrow,P,BirthNarrow,PrA,664.20,664.20
Birth classified as narrow,ICD9CMP,Threatened abortion- delivered- with or without mention of antepartum condition,C0156606,"",narrow,P,BirthNarrow,PrA,640.01,640.01
Birth classified as narrow,ICD9CMP,Thyroid dysfunction of mother- delivered- with mention of postpartum complication,C0156839,Thyroid dysfunction of mother- delivered- with mention of postpartum complication,narrow,P,BirthNarrow,PrA,648.12,648.12
Birth classified as narrow,ICD9CMP,Thyroid dysfunction of mother- delivered- with or without mention of antepartum condition,C0156838,Thyroid dysfunction of mother- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,648.11,648.11
Birth classified as narrow,ICD9CMP,Transient hypertension of pregnancy- delivered - with or without mention of antepartum condition,C0156660,"",narrow,P,BirthNarrow,PrA,642.31,642.31
Birth classified as narrow,ICD9CMP,Transient hypertension of pregnancy- delivered- with mention of postpartum complication,C0156661,"",narrow,P,BirthNarrow,PrA,642.32,642.32
Birth classified as narrow,ICD9CMP,Transient hypertension of pregnancy- delivered- with mention of postpartum complication,C0156661,Transient hypertension of pregnancy- delivered- with mention of postpartum complication,narrow,P,BirthNarrow,PrA,642.32,642.32
Birth classified as narrow,ICD9CMP,Transverse or oblique presentation- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,652.31,652.31
Birth classified as narrow,ICD9CMP,Transverse or oblique presentation- delivered- with or without mention of antepartum condition,C0375392,Transverse or oblique presentation- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,652.31,652.31
Birth classified as narrow,ICD9CMP,Triplet pregnancy with fetal loss and retention of one or more fetus(es)- antepartum condition or complication,C0156908,Triplet pregnancy with fetal loss and retention of one or more fetus(es)- antepartum condition or complication,narrow,P,BirthNarrow,PrA,651.43,651.43
Birth classified as narrow,ICD9CMP,Triplet pregnancy with fetal loss and retention of one or more fetus(es)- delivered- with or without mention of antepartum condition,C0156907,Triplet pregnancy with fetal loss and retention of one or more fetus(es)- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,651.41,651.41
Birth classified as narrow,ICD9CMP,Triplet pregnancy- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,651.11,651.11
Birth classified as narrow,ICD9CMP,Tuberculosis of mother- complicating pregnancy- childbirth- or the puerperium- delivered- with or without mention of antepartum condition,C0156795,Tuberculosis of mother- complicating pregnancy- childbirth- or the puerperium- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,647.31,647.31
Birth classified as narrow,ICD9CMP,Tumors of body of uterus- delivered- with mention of postpartum complication,C0157014,Tumors of body of uterus- delivered- with mention of postpartum complication,narrow,P,BirthNarrow,PrA,654.12,654.12
Birth classified as narrow,ICD9CMP,Tumors of body of uterus- delivered- with or without mention of antepartum condition,C0157013,Tumors of body of uterus- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,654.11,654.11
Birth classified as narrow,ICD9CMP,Twin pregnancy with fetal loss and retention of one fetus- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,651.31,651.31
Birth classified as narrow,ICD9CMP,Twin pregnancy- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,651.01,651.01
Birth classified as narrow,ICD9CMP,Unspecified antepartum hemorrhage- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,641.91,641.91
Birth classified as narrow,ICD9CMP,Unspecified complication of labor and delivery,C0269815,Complication of labor and delivery- unspecified,narrow,P,BirthNarrow,PrA,669.9,669.9
Birth classified as narrow,ICD9CMP,Unspecified complication of labor and delivery- antepartum condition or complication,"","",narrow,P,BirthNarrow,PrA,669.93,669.93
Birth classified as narrow,ICD9CMP,Unspecified complication of labor and delivery- delivered- with mention of postpartum complication,"","",narrow,P,BirthNarrow,PrA,669.92,669.92
Birth classified as narrow,ICD9CMP,Unspecified complication of labor and delivery- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,669.91,669.91
Birth classified as narrow,ICD9CMP,Unspecified complication of labor and delivery- unspecified as to episode of care or not applicable,"","",narrow,P,BirthNarrow,PrA,669.90,669.90
Birth classified as narrow,ICD9CMP,Unspecified complication of pregnancy- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,646.91,646.91
Birth classified as narrow,ICD9CMP,Unspecified failed trial of labor- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,660.61,660.61
Birth classified as narrow,ICD9CMP,Unspecified fetal and placental problem- affecting management of mother- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,656.91,656.91
Birth classified as narrow,ICD9CMP,Unspecified hemorrhage in early pregnancy- delivered- with or without mention of antepartum condition,C0156614,"",narrow,P,BirthNarrow,PrA,640.91,640.91
Birth classified as narrow,ICD9CMP,Unspecified indication for care or intervention related to labor and delivery- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,659.91,659.91
Birth classified as narrow,ICD9CMP,Unspecified malposition or malpresentation- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,652.91,652.91
Birth classified as narrow,ICD9CMP,Unspecified multiple gestation- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,651.91,651.91
Birth classified as narrow,ICD9CMP,Unspecified perineal laceration during delivery,C0269859,Obstetrical laceration,narrow,P,BirthNarrow,PrA,664.4,664.4
Birth classified as narrow,ICD9CMP,Unspecified perineal laceration- delivered- with or without mention of antepartum condition,C0269859,Obstetrical laceration,narrow,P,BirthNarrow,PrA,664.41,664.41
Birth classified as narrow,ICD9CMP,Unspecified problem associated with amniotic cavity and membranes- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,658.91,658.91
Birth classified as narrow,ICD9CMP,Unspecified prolonged labor- antepartum condition or complication,"","",narrow,P,BirthNarrow,PrA,662.13,662.13
Birth classified as narrow,ICD9CMP,Unspecified prolonged labor- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,662.11,662.11
Birth classified as narrow,ICD9CMP,Unspecified prolonged labor- unspecified as to episode of care or not applicable,"","",narrow,P,BirthNarrow,PrA,662.10,662.10
Birth classified as narrow,ICD9CMP,Unspecified renal disease in pregnancy- without mention of hypertension- delivered- with mention of postpartum complication,"","",narrow,P,BirthNarrow,PrA,646.22,646.22
Birth classified as narrow,ICD9CMP,Unspecified renal disease in pregnancy- without mention of hypertension- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,646.21,646.21
Birth classified as narrow,ICD9CMP,Unspecified suspected fetal abnormality- affecting management of mother- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,655.91,655.91
Birth classified as narrow,ICD9CMP,Unspecified suspected fetal abnormality- affecting management of mother- delivered- with or without mention of antepartum condition,C0157098,Unspecified suspected fetal abnormality- affecting management of mother- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,655.91,655.91
Birth classified as narrow,ICD9CMP,Unspecified umbilical cord complication complicating labor and delivery- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,663.91,663.91
Birth classified as narrow,ICD9CMP,Unspecified umbilical cord complication complicating labor and delivery- delivered- with or without mention of antepartum condition,C0157309,Unspecified umbilical cord complication complicating labor and delivery- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,663.91,663.91
Birth classified as narrow,ICD9CMP,Unspecified umbilical cord complication during labor and delivery,"","",narrow,P,BirthNarrow,PrA,663.9,663.9
Birth classified as narrow,ICD9CMP,Unspecified vomiting of pregnancy- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,643.91,643.91
Birth classified as narrow,ICD9CMP,Unstable lie- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,652.01,652.01
Birth classified as narrow,ICD9CMP,Unusually large fetus causing disproportion- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,653.51,653.51
Birth classified as narrow,ICD9CMP,Uterine size date discrepancy- delivered- with mention of postpartum complication,"","",narrow,P,BirthNarrow,PrA,649.62,649.62
Birth classified as narrow,ICD9CMP,Uterine size date discrepancy- delivered- with or without mention of antepartum condition,"","",narrow,P,BirthNarrow,PrA,649.61,649.61
Birth classified as narrow,ICD9CMP,Vulvar and perineal hematoma during delivery,C0157332,Vulval and perineal hematoma during delivery,narrow,P,BirthNarrow,PrA,664.5,664.5
Birth classified as narrow,ICD9CMP,Vulvar and perineal hematoma- delivered- with or without mention of antepartum condition,C0157334,Vulvar and perineal hematoma- delivered- with or without mention of antepartum condition,narrow,P,BirthNarrow,PrA,664.51,664.51
Birth classified as narrow,ICD9CMP,Vulvar and perineal hematoma- postpartum condition or complication,"","",narrow,P,BirthNarrow,PrA,664.54,664.54
Birth classified as narrow,ICPC2P,Failed induction-medical,C0269808,Failed medical induction of labor,possible,P,BirthNarrow,PrA,W92025,W92025
Birth classified as narrow,ICPC2P,Laceration-cervix (obstetric),C0157358,Laceration of cervix - obstetric,narrow,P,BirthNarrow,PrA,W92009,W92009
Birth classified as narrow,ICPC2P,Laceration-perineum (obstet),C0269859,Obstetrical laceration,narrow,P,BirthNarrow,PrA,W92008,W92008
